year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,9,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",80.00,6.00,2.72,0.00,3.28,0.00,0.00,0.00,0.00,308.00,163.00,0.00,145.00,0.00,0.00
2023,9,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",60.00,6.00,2.93,0.00,1.16,0.00,1.91,0.00,1.00,341.00,222.00,0.00,49.00,0.00,70.00
2023,9,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",60.00,4.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,147.00,128.00,0.00,19.00,0.00,0.00
2023,9,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",92.00,7.00,2.93,0.94,2.13,0.00,1.00,0.00,0.00,270.00,112.00,48.00,42.00,0.00,68.00
2023,9,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",72.00,14.00,5.56,0.00,2.09,0.00,6.35,6.00,0.00,695.00,220.00,0.00,137.00,0.00,338.00
2023,9,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2062.00,200.00,66.78,13.88,35.90,0.00,83.45,2.00,1.00,17361.00,6394.00,4028.00,1503.00,0.00,5436.00
2023,9,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",3.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,75.00,0.00,0.00,0.00,0.00
2023,9,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",69.00,10.00,2.94,1.13,4.24,0.00,1.69,0.00,1.00,643.00,181.00,61.00,242.00,0.00,159.00
2023,9,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",57.00,19.00,1.80,1.85,7.16,0.00,8.20,4.00,0.00,1166.00,116.00,144.00,341.00,0.00,565.00
2023,9,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",7.00,1.00,0.74,0.00,0.26,0.00,0.00,0.00,0.00,72.00,53.00,0.00,19.00,0.00,0.00
2023,9,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",59.00,11.00,3.14,0.00,1.27,0.00,6.59,2.00,0.00,1003.00,325.00,0.00,91.00,0.00,587.00
