YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_AIRPORT_SEQ_ID,DIV2_WHEELS_ON,DIV2_TOTAL_GTIME
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N122US,1952,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0635,0631,-4,0,0,-1,12,0643,0944,7,0958,0951,-7,0,0,-1,0900-0959,0,,0,140,121,1,940,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N140AN,868,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1258,1406,68,68,1,4,11,1417,1454,5,1355,1459,64,64,1,4,1300-1359,0,,0,53,37,1,175,1,64,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N140AN,868,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1445,1545,60,60,1,4,15,1600,1633,12,1549,1645,56,56,1,3,1500-1559,0,,0,60,33,1,175,1,0,0,0,0,56,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N142AN,1562,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,0800,0919,79,79,1,5,15,0934,1007,13,0904,1020,76,76,1,5,0900-0959,0,,0,61,33,1,175,1,76,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N149AN,1565,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,2243,2242,-1,0,0,-1,12,2254,2323,5,2340,2328,-12,0,0,-1,2300-2359,0,,0,46,29,1,175,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N151AN,1458,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,2114,2110,-4,0,0,-1,16,2126,2157,10,2212,2207,-5,0,0,-1,2200-2259,0,,0,57,31,1,175,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N166NN,1805,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1029,1024,-5,0,0,-1,16,1040,1112,10,1133,1122,-11,0,0,-1,1100-1159,0,,0,58,32,1,175,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N359PX,1813,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,0806,0800,-6,0,0,-1,22,0822,0909,19,0925,0928,3,3,0,0,0900-0959,0,,0,88,47,1,237,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N650AW,768,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,2055,2052,-3,0,0,-1,15,2107,2234,7,2246,2241,-5,0,0,-1,2200-2259,0,,0,169,147,1,940,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N667AW,1924,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1326,1335,9,9,0,0,12,1347,1510,7,1514,1517,3,3,0,0,1500-1559,0,,0,162,143,1,940,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N667AW,1924,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1559,1605,6,6,0,0,14,1619,1919,9,1922,1928,6,6,0,0,1900-1959,0,,0,143,120,1,940,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N826NN,2400,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,1830,1830,0,0,0,0,17,1847,1930,4,1933,1934,1,1,0,0,1900-1959,0,,0,64,43,1,237,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N858NN,2662,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,1925,1934,9,9,0,0,25,1959,2115,6,2057,2121,24,24,1,1,2000-2059,0,,0,167,136,1,842,4,9,0,15,0,0,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N863NN,1433,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0700,0657,-3,0,0,-1,12,0709,0959,5,1016,1004,-12,0,0,-1,1000-1059,0,,0,127,110,1,842,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N9012,2922,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,1015,1009,-6,0,0,-1,10,1019,1103,4,1118,1107,-11,0,0,-1,1100-1159,0,,0,58,44,1,237,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N9012,2922,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1209,1203,-6,0,0,-1,10,1213,1257,11,1329,1308,-21,0,0,-2,1300-1359,0,,0,65,44,1,237,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N924AN,557,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,1635,1704,29,29,1,1,14,1718,1804,5,1737,1809,32,32,1,2,1700-1759,0,,0,65,46,1,237,1,29,0,3,0,0,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N924AN,557,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1831,1852,21,21,1,1,11,1903,1944,13,1951,1957,6,6,0,0,1900-1959,0,,0,65,41,1,237,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N931AM,2439,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1041,1034,-7,0,0,-1,20,1054,1132,6,1147,1138,-9,0,0,-1,1100-1159,0,,0,64,38,1,175,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N931AM,2439,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1238,1230,-8,0,0,-1,17,1247,1321,8,1342,1329,-13,0,0,-1,1300-1359,0,,0,59,34,1,175,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N971AN,1446,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,2105,2102,-3,0,0,-1,17,2119,2200,4,2209,2204,-5,0,0,-1,2200-2259,0,,0,62,41,1,237,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N987NN,452,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1018,1007,-11,0,0,-1,40,1047,1130,14,1138,1144,6,6,0,0,1100-1159,0,,0,97,43,1,237,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N992AN,1691,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1640,1634,-6,0,0,-1,15,1649,1725,4,1741,1729,-12,0,0,-1,1700-1759,0,,0,55,36,1,175,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AA,19805,AA,N992AN,1691,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1832,1823,-9,0,0,-1,15,1838,1911,10,1939,1921,-18,0,0,-2,1900-1959,0,,0,58,33,1,175,1,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AS,19930,AS,N928AK,1405,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,1635,1647,12,12,0,0,12,1659,1825,7,1845,1832,-13,0,0,-1,1800-1859,0,,0,225,206,1,1519,7,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,AS,19930,AS,N928AK,1406,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1005,1023,18,18,1,1,17,1040,1542,5,1535,1547,12,12,0,0,1500-1559,0,,0,204,182,1,1519,7,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N350NA,2068,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0600,0557,-3,0,0,-1,10,0607,0840,18,0903,0858,-5,0,0,-1,0900-0959,0,,0,121,93,1,761,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N366NW,2936,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,2045,2039,-6,0,0,-1,13,2052,2134,3,2209,2137,-32,0,0,-2,2200-2259,0,,0,118,102,1,761,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N940AT,554,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,2232,2228,-4,0,0,-1,13,2241,2321,3,2340,2324,-16,0,0,-2,2300-2359,0,,0,116,100,1,674,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N947AT,2853,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1000,0952,-8,0,0,-1,11,1003,1241,8,1256,1249,-7,0,0,-1,1200-1259,0,,0,117,98,1,761,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N947AT,951,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,1351,1409,18,18,1,1,13,1422,1500,3,1500,1503,3,3,0,0,1500-1559,0,,0,114,98,1,674,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N947AT,951,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1555,1555,0,0,0,0,10,1605,1832,6,1845,1838,-7,0,0,-1,1800-1859,0,,0,103,87,1,674,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N948AT,2395,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1535,1532,-3,0,0,-1,8,1540,1628,5,1658,1633,-25,0,0,-2,1600-1659,0,,0,121,108,1,761,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N970AT,2670,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0600,0558,-2,0,0,-1,12,0610,0835,25,0857,0900,3,3,0,0,0800-0859,0,,0,122,85,1,674,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N977AT,2041,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,0815,0811,-4,0,0,-1,12,0823,0907,2,0920,0909,-11,0,0,-1,0900-0959,0,,0,118,104,1,674,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N977AT,2041,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1015,1014,-1,0,0,-1,10,1024,1248,5,1304,1253,-11,0,0,-1,1300-1359,0,,0,99,84,1,674,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N981AT,1256,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1010,1008,-2,0,0,-1,17,1025,1114,4,1135,1118,-17,0,0,-2,1100-1159,0,,0,130,109,1,761,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,DL,19790,DL,N981AT,1256,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1400,1356,-4,0,0,-1,9,1405,1637,8,1705,1645,-20,0,0,-2,1700-1759,0,,0,109,92,1,761,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,MQ,20398,MQ,N201NN,3391,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1632,1621,-11,0,0,-1,11,1632,1754,13,1825,1807,-18,0,0,-2,1800-1859,0,,0,106,82,1,585,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,MQ,20398,MQ,N201NN,3552,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,1353,1348,-5,0,0,-1,14,1402,1535,3,1552,1538,-14,0,0,-1,1500-1559,0,,0,110,93,1,585,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,MQ,20398,MQ,N279MQ,4240,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,2141,2141,0,0,0,0,18,2159,2300,3,2305,2303,-2,0,0,-1,2300-2359,0,,0,82,61,1,426,2,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,MQ,20398,MQ,N760MQ,3316,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1624,1622,-2,0,0,-1,14,1636,1812,11,1830,1823,-7,0,0,-1,1800-1859,0,,0,121,96,1,693,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,MQ,20398,MQ,N760MQ,3474,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1325,1325,0,0,0,0,20,1345,1538,5,1553,1543,-10,0,0,-1,1500-1559,0,,0,138,113,1,693,3,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,OH,20397,OH,N509AE,5203,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,2040,2040,0,0,0,0,11,2051,2232,2,2246,2234,-12,0,0,-1,2200-2259,0,,0,174,161,1,1049,5,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,OH,20397,OH,N544EA,5516,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,0530,0520,-10,0,0,-1,22,0542,0842,5,0919,0847,-32,0,0,-2,0900-0959,0,,0,147,120,1,1049,5,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,OH,20397,OH,N592NN,5519,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,1335,1328,-7,0,0,-1,15,1343,1449,3,1516,1452,-24,0,0,-2,1500-1559,0,,0,144,126,1,842,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023,1,1,1,7,1/1/2023 0:00,OH,20397,OH,N592NN,5519,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1552,1541,-11,0,0,-1,13,1554,1833,18,1913,1851,-22,0,0,-2,1900-1959,0,,0,130,99,1,842,4,,,,,,,,,0,,,,,,,,,,,,,,,,,
